ranking,name,age,weight,gender,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
,Joaquin Buckley,27,185,Male,68,3,2,,,13,4,,
,Jordan Wright,30,185,Male,73,2,1,,,12,1,,1
,Dusko Todorovic,27,185,Male,73,1,2,,,10,2,,
,Dricus Du Plessis,27,185,Male,72,2,0,,,16,2,,
,Jacob Malkoun,26,185,Male,73,1,1,,,5,1,,
,Phil Hawes,32,185,Male,71,3,1,,,11,3,,
,Dustin Stoltzfus,30,185,Male,71,0,2,,,13,3,,
,Jamie Pickett,33,185,Male,74,1,2,,,12,6,,
,Gregory Rodrigues,29,185,Male,75,2,0,,,11,3,,
,Bruno Silva,32,185,Male,72,2,0,,,21,6,,
,Andre Petroski,30,185,Male,72,2,0,,,7,1,,
,Micheal Gillmore,34,185,Male,71,0,1,,,6,4,,
,Bryan Battle,27,185,Male,73,1,0,,,6,1,,
,Gilbert Urbina,25,185,Male,75,0,1,,,6,2,,
,Nick Maximov,23,185,Male,72,1,0,,,7,0,,
,Cody Brundage,27,185,Male,72,0,1,,,6,2,,
,Albert Duraev,32,185,Male,71,1,0,,,15,3,,
,Chris Curtis,34,185,Male,70,1,0,,,27,8,,
,Alex Pereira,34,185,Male,76,1,0,,,4,1,,
,Nate Diaz,36,170,Male,72,18,12,,,20,13,,
,Matt Brown,40,170,Male,72,16,12,,,23,18,,
,Donald Cerrone,38,170,Male,72,29,16,1,1,36,16,1,1
,Court Mcgee,36,170,Male,71,9,9,,,20,10,,
,Tim Means,37,170,Male,74,14,9,,1,32,12,1,1
,Francisco Trinaldo,43,170,Male,69,17,7,,,27,8,,
,Gunnar Nelson,33,170,Male,71,8,5,,,17,5,1,
,Michel Prazeres,40,170,Male,66,10,4,,,26,4,,
,James Krause,35,170,Male,74,9,6,,,28,8,,
,Jesse Ronson,35,170,Male,69,1,3,,,22,10,,
,Kevin Lee,29,170,Male,69,11,7,,,18,7,,
,Claudio Silva,39,170,Male,71,5,2,,,14,3,,
,Warlley Alves,30,170,Male,71,8,5,,,14,5,,
,Jake Matthews,27,170,Male,69,10,5,,,17,5,,
,Dhiego Lima,32,170,Male,74,4,7,,,15,9,,
,Bryan Barberena,32,170,Male,72,6,6,,,15,8,,
,Alex Oliveira,33,170,Male,71,11,9,,1,21,11,1,2
,Elizeu Zaleski Dos Santos,35,170,Male,71,9,3,,,23,7,,
,Nicolas Dalby,37,170,Male,71,3,3,1,2,19,4,1,2
,Lyman Good,36,170,Male,72,3,3,,,21,5,,1
,Danny Roberts,34,170,Male,72,7,4,,,18,5,,
,Alex Morono,31,170,Male,71,9,4,,1,20,7,,1
,Randy Brown,31,170,Male,75,8,4,,,14,4,,
,Mickey Gall,29,170,Male,74,6,3,,,7,3,,
,Mike Jackson,36,170,Male,74,1,1,,,1,1,,
,Max Griffin,35,170,Male,72,6,6,,,18,8,,
